Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.5
Label,IN,OUT
TIME,CH1,CH2
-5.440e-01,-0.02,2.788
-5.400e-01,-0.02,2.788
-5.360e-01,0.06,2.788
-5.320e-01,-0.02,2.788
-5.280e-01,-0.02,2.768
-5.240e-01,-0.1,2.748
-5.200e-01,-0.02,2.768
-5.160e-01,0.06,2.748
-5.120e-01,-0.02,2.768
-5.080e-01,-0.1,2.768
-5.040e-01,-0.02,2.788
-5.000e-01,0.06,2.708
-4.960e-01,-0.02,2.768
-4.920e-01,-0.02,2.728
-4.880e-01,-0.02,2.728
-4.840e-01,0.14,2.748
-4.800e-01,-0.02,2.748
-4.760e-01,-0.1,2.688
-4.720e-01,-0.02,2.708
-4.680e-01,-0.02,2.708
-4.640e-01,0.14,2.688
-4.600e-01,-0.02,2.708
-4.560e-01,-0.1,2.748
-4.520e-01,-0.02,2.768
-4.480e-01,-0.26,2.688
-4.440e-01,-0.02,2.708
-4.400e-01,-0.02,2.708
-4.360e-01,0.06,2.688
-4.320e-01,-0.02,2.668
-4.280e-01,-0.02,2.688
-4.240e-01,0.06,2.648
-4.200e-01,0.06,2.628
-4.160e-01,-0.02,2.668
-4.120e-01,-0.02,2.608
-4.080e-01,-0.1,2.648
-4.040e-01,-0.1,2.668
-4.000e-01,-0.02,2.648
-3.960e-01,-0.02,2.608
-3.920e-01,-0.1,2.688
-3.880e-01,-0.02,2.608
-3.840e-01,-0.02,2.648
-3.800e-01,-0.1,2.588
-3.760e-01,-0.02,2.588
-3.720e-01,-0.02,2.648
-3.680e-01,-0.02,2.648
-3.640e-01,-0.02,2.588
-3.600e-01,-0.02,2.568
-3.560e-01,-0.02,2.608
-3.520e-01,0.06,2.568
-3.480e-01,-0.02,2.568
-3.440e-01,-0.02,2.608
-3.400e-01,-0.02,2.568
-3.360e-01,-0.1,2.568
-3.320e-01,0.06,2.568
-3.280e-01,0.06,2.568
-3.240e-01,-0.1,2.568
-3.200e-01,-0.02,2.548
-3.160e-01,-0.02,2.568
-3.120e-01,-0.02,2.568
-3.080e-01,-0.02,2.568
-3.040e-01,-0.02,2.548
-3.000e-01,-0.02,2.548
-2.960e-01,0.06,2.508
-2.920e-01,-0.1,2.548
-2.880e-01,-0.02,2.508
-2.840e-01,-0.1,2.548
-2.800e-01,-0.02,2.528
-2.760e-01,-0.1,2.568
-2.720e-01,-0.02,2.528
-2.680e-01,-0.02,2.468
-2.640e-01,-0.02,2.488
-2.600e-01,-0.1,2.488
-2.560e-01,-0.02,2.528
-2.520e-01,-0.02,2.508
-2.480e-01,-0.02,2.528
-2.440e-01,-0.02,2.488
-2.400e-01,-0.1,2.488
-2.360e-01,-0.1,2.488
-2.320e-01,-0.02,2.428
-2.280e-01,-0.02,2.468
-2.240e-01,-0.1,2.488
-2.200e-01,-0.02,2.468
-2.160e-01,-0.1,2.488
-2.120e-01,-0.02,2.508
-2.080e-01,-0.02,2.448
-2.040e-01,-0.1,2.428
-2.000e-01,-0.02,2.448
-1.960e-01,-0.02,2.468
-1.920e-01,-0.02,2.448
-1.880e-01,-0.02,2.428
-1.840e-01,-0.02,2.428
-1.800e-01,-0.02,2.408
-1.760e-01,-0.1,2.428
-1.720e-01,-0.02,2.448
-1.680e-01,-0.02,2.408
-1.640e-01,-0.02,2.408
-1.600e-01,-0.1,2.448
-1.560e-01,0.06,2.408
-1.520e-01,-0.02,2.428
-1.480e-01,-0.02,2.428
-1.440e-01,-0.1,2.428
-1.400e-01,-0.1,2.388
-1.360e-01,-0.02,2.328
-1.320e-01,-0.02,2.408
-1.280e-01,-0.02,2.428
-1.240e-01,-0.02,2.388
-1.200e-01,-0.02,2.428
-1.160e-01,-0.02,2.368
-1.120e-01,-0.02,2.348
-1.080e-01,-0.02,2.368
-1.040e-01,-0.1,2.368
-1.000e-01,0.06,2.348
-9.600e-02,-0.02,2.388
-9.200e-02,-0.02,2.348
-8.800e-02,0.06,2.368
-8.400e-02,-0.1,2.348
-8.000e-02,-0.02,2.328
-7.600e-02,-0.02,2.368
-7.200e-02,-0.02,2.388
-6.800e-02,-0.02,2.328
-6.400e-02,-0.02,2.348
-6.000e-02,-0.02,2.388
-5.600e-02,-0.02,2.368
-5.200e-02,-0.02,2.368
-4.800e-02,-0.02,2.348
-4.400e-02,0.06,2.368
-4.000e-02,-0.1,2.368
-3.600e-02,-0.02,2.328
-3.200e-02,-0.02,2.328
-2.800e-02,-0.02,2.328
-2.400e-02,-0.1,2.368
-2.000e-02,-0.02,2.288
-1.600e-02,-0.1,2.308
-1.200e-02,-0.18,2.328
-8.000e-03,-0.02,2.308
-4.000e-03,-0.02,2.308
1.749e-15,-0.02,2.308
4.000e-03,-0.02,2.308
8.000e-03,-0.02,2.368
1.200e-02,-0.1,2.328
1.600e-02,-0.02,2.328
2.000e-02,-0.1,2.328
2.400e-02,-0.02,2.308
2.800e-02,-0.02,2.308
3.200e-02,0.06,2.328
3.600e-02,-0.02,2.288
4.000e-02,0.06,2.348
4.400e-02,-0.02,2.308
4.800e-02,-0.1,2.328
5.200e-02,-0.02,2.308
5.600e-02,-0.02,2.288
6.000e-02,-0.1,2.288
6.400e-02,-0.02,2.328
6.800e-02,-0.1,2.308
7.200e-02,-0.1,2.288
7.600e-02,-0.02,2.308
8.000e-02,0.14,2.328
8.400e-02,-0.02,2.288
8.800e-02,-0.1,2.288
9.200e-02,0.14,2.268
9.600e-02,-0.1,2.328
1.000e-01,-0.02,2.308
1.040e-01,-0.02,2.308
1.080e-01,-0.02,2.288
1.120e-01,-0.02,2.288
1.160e-01,-0.02,2.328
1.200e-01,-0.02,2.348
1.240e-01,-0.1,2.288
1.280e-01,-0.02,2.288
1.320e-01,-0.02,2.348
1.360e-01,-0.02,2.308
1.400e-01,-0.02,2.328
1.440e-01,-0.02,2.308
1.480e-01,-0.02,2.348
1.520e-01,-0.02,2.348
1.560e-01,-0.02,2.348
1.600e-01,-0.1,2.308
1.640e-01,-0.02,2.308
1.680e-01,-0.1,2.308
1.720e-01,-0.02,2.288
1.760e-01,-0.02,2.328
1.800e-01,-0.02,2.348
1.840e-01,-0.02,2.308
1.880e-01,0.06,2.368
1.920e-01,-0.02,2.328
1.960e-01,-0.02,2.308
2.000e-01,-0.02,2.328
2.040e-01,0.06,2.288
2.080e-01,0.06,2.348
2.120e-01,-0.02,2.368
2.160e-01,-0.1,2.348
2.200e-01,-0.02,2.368
2.240e-01,-0.1,2.348
2.280e-01,-0.02,2.328
2.320e-01,0.06,2.328
2.360e-01,-0.02,2.308
2.400e-01,-0.02,2.348
2.440e-01,-0.02,2.408
2.480e-01,-0.1,2.388
2.520e-01,-0.02,2.348
2.560e-01,-0.1,2.408
2.600e-01,-0.1,2.368
2.640e-01,-0.02,2.308
2.680e-01,-0.02,2.328
2.720e-01,-0.02,2.408
2.760e-01,-0.02,2.308
2.800e-01,-0.1,2.368
2.840e-01,0.06,2.368
2.880e-01,-0.02,2.388
2.920e-01,-0.02,2.388
2.960e-01,-0.02,2.388
3.000e-01,-0.02,2.368
3.040e-01,-0.02,2.388
3.080e-01,-0.02,2.368
3.120e-01,-0.02,2.408
3.160e-01,-0.1,2.408
3.200e-01,-0.02,2.388
3.240e-01,-0.02,2.388
3.280e-01,0.06,2.388
3.320e-01,-0.02,2.448
3.360e-01,-0.02,2.448
3.400e-01,0.06,2.388
3.440e-01,0.06,2.428
3.480e-01,-0.02,2.428
3.520e-01,0.06,2.428
3.560e-01,-0.02,2.428
3.600e-01,-0.02,2.448
3.640e-01,-0.02,2.428
3.680e-01,-0.02,2.428
3.720e-01,-0.02,2.468
3.760e-01,-0.1,2.448
3.800e-01,-0.1,2.468
3.840e-01,-0.1,2.468
3.880e-01,-0.02,2.488
3.920e-01,-0.02,2.448
3.960e-01,0.06,2.468
4.000e-01,-0.02,2.468
4.040e-01,-0.02,2.548
4.080e-01,-0.1,2.468
4.120e-01,-0.1,2.488
4.160e-01,-0.02,2.448
4.200e-01,-0.02,2.468
4.240e-01,-0.1,2.468
4.280e-01,-0.02,2.448
4.320e-01,-0.02,2.448
4.360e-01,-0.02,2.508
4.400e-01,-0.1,2.528
4.440e-01,-0.02,2.548
4.480e-01,-0.02,2.508
4.520e-01,-0.02,2.488
4.560e-01,-0.02,2.528
4.600e-01,-0.02,2.548
4.640e-01,0.06,2.508
4.680e-01,0.06,2.528
4.720e-01,-0.02,2.528
4.760e-01,-0.02,2.528
4.800e-01,-0.02,2.508
4.840e-01,0.06,2.528
4.880e-01,-0.02,2.568
4.920e-01,-0.02,2.568
4.960e-01,0.06,2.548
5.000e-01,-0.02,2.568
5.040e-01,-0.02,2.548
5.080e-01,0.06,2.608
5.120e-01,0.06,2.568
5.160e-01,-0.02,2.588
5.200e-01,-0.02,2.568
5.240e-01,-0.02,2.568
5.280e-01,0.14,2.568
5.320e-01,0.06,2.568
5.360e-01,-0.02,2.568
5.400e-01,-0.02,2.568
5.440e-01,0.06,2.608
5.480e-01,-0.02,2.588
5.520e-01,-0.02,2.568
5.560e-01,-0.1,2.588
5.600e-01,-0.02,2.668
5.640e-01,-0.02,2.608
5.680e-01,-0.02,2.568
5.720e-01,-0.1,2.628
5.760e-01,-0.02,2.628
5.800e-01,-0.02,2.648
5.840e-01,-0.02,2.628
5.880e-01,-0.1,2.668
5.920e-01,-0.02,2.628
5.960e-01,-0.02,2.648
6.000e-01,-0.18,2.648
6.040e-01,-0.02,2.648
6.080e-01,0.14,2.668
6.120e-01,-0.02,2.648
6.160e-01,-0.02,2.688
6.200e-01,-0.1,2.688
6.240e-01,-0.02,2.688
6.280e-01,0.06,2.688
6.320e-01,-0.02,2.668
6.360e-01,-0.02,2.688
6.400e-01,0.06,2.708
6.440e-01,-0.02,2.688
6.480e-01,-0.02,2.708
6.520e-01,0.06,2.668
6.560e-01,-0.02,2.728
6.600e-01,-0.02,2.688
6.640e-01,-0.02,2.728
6.680e-01,-0.1,2.728
6.720e-01,-0.02,2.728
6.760e-01,-0.1,2.728
