Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.2
Label,IN,OUT
TIME,CH1,CH2
-3.840e-01,0.06,2.894
-3.800e-01,-0.18,2.87
-3.760e-01,0.06,2.854
-3.720e-01,-0.02,2.894
-3.680e-01,-0.02,2.894
-3.640e-01,-0.02,2.894
-3.600e-01,-0.02,2.91
-3.560e-01,-0.02,2.918
-3.520e-01,-0.02,2.886
-3.480e-01,0.06,2.91
-3.440e-01,-0.02,2.91
-3.400e-01,-0.02,2.926
-3.360e-01,-0.02,2.918
-3.320e-01,-0.02,2.902
-3.280e-01,-0.02,2.902
-3.240e-01,-0.1,2.902
-3.200e-01,-0.02,2.934
-3.160e-01,4.46,2.91
-3.120e-01,4.62,2.91
-3.080e-01,4.54,2.918
-3.040e-01,4.7,2.942
-3.000e-01,4.62,2.934
-2.960e-01,4.62,2.958
-2.920e-01,4.78,2.934
-2.880e-01,4.7,2.934
-2.840e-01,4.62,2.95
-2.800e-01,4.62,2.934
-2.760e-01,4.62,2.942
-2.720e-01,4.7,2.926
-2.680e-01,4.7,2.926
-2.640e-01,4.62,2.926
-2.600e-01,4.62,2.942
-2.560e-01,4.54,2.95
-2.520e-01,4.62,2.894
-2.480e-01,4.7,2.91
-2.440e-01,4.54,2.918
-2.400e-01,4.78,2.926
-2.360e-01,4.54,2.91
-2.320e-01,4.62,2.934
-2.280e-01,4.7,2.918
-2.240e-01,0.14,2.91
-2.200e-01,-0.1,2.918
-2.160e-01,-0.1,2.918
-2.120e-01,0.06,2.918
-2.080e-01,-0.02,2.894
-2.040e-01,0.14,2.91
-2.000e-01,-0.02,2.91
-1.960e-01,-0.02,2.886
-1.920e-01,-0.1,2.918
-1.880e-01,-0.02,2.894
-1.840e-01,0.06,2.886
-1.800e-01,-0.02,2.886
-1.760e-01,-0.02,2.87
